Date,Open
1999-12-31,1469
2000-01-31,1394
2000-02-29,1366
2000-03-31,1498
2000-04-30,1452
2000-05-31,1420
2000-06-30,1454
2000-07-31,1430
2000-08-31,1517
2000-09-30,1436
2000-10-31,1429
2000-11-30,1314
2000-12-31,1320
2001-01-31,1366
2001-02-28,1239
2001-03-31,1160
2001-04-30,1249
2001-05-31,1255
2001-06-30,1224
2001-07-31,1211
2001-08-31,1133
2001-09-30,1040
2001-10-31,1059
2001-11-30,1139
2001-12-31,1148
2002-01-31,1130
2002-02-28,1106
2002-03-31,1147
2002-04-30,1076
2002-05-31,1067
2002-06-30,989
2002-07-31,911
2002-08-31,916
2002-09-30,815
2002-10-31,885
2002-11-30,936
2002-12-31,879
2003-01-31,855
2003-02-28,841
2003-03-31,848
2003-04-30,916
2003-05-31,963
2003-06-30,974
2003-07-31,990
2003-08-31,1008
2003-09-30,995
2003-10-31,1050
2003-11-30,1058
2003-12-31,1111
2004-01-31,1131
2004-02-29,1144
2004-03-31,1126
2004-04-30,1107
2004-05-31,1120
2004-06-30,1140
2004-07-31,1101
2004-08-31,1104
2004-09-30,1114
2004-10-31,1130
2004-11-30,1173
2004-12-31,1211
2005-01-31,1181
2005-02-28,1203
2005-03-31,1180
2005-04-30,1156
2005-05-31,1191
2005-06-30,1191
2005-07-31,1234
2005-08-31,1220
2005-09-30,1228
2005-10-31,1207
2005-11-30,1249
2005-12-31,1248
2006-01-31,1280
2006-02-28,1280
2006-03-31,1302
2006-04-30,1310
2006-05-31,1270
2006-06-30,1270
2006-07-31,1278
2006-08-31,1303
2006-09-30,1335
2006-10-31,1377
2006-11-30,1400
2006-12-31,1418
2007-01-31,1437
2007-02-28,1406
2007-03-31,1420
2007-04-30,1482
2007-05-31,1530
2007-06-30,1504
2007-07-31,1455
2007-08-31,1473
2007-09-30,1527
2007-10-31,1545
2007-11-30,1479
2007-12-31,1467
2008-01-31,1378
2008-02-29,1330
2008-03-31,1326
2008-04-30,1385
2008-05-31,1399
2008-06-30,1276
2008-07-31,1269
2008-08-31,1287
2008-09-30,1164
2008-10-31,968
2008-11-30,888
2008-12-31,902
2009-01-31,823
2009-02-28,729
2009-03-31,793
2009-04-30,872
2009-05-31,923
2009-06-30,920
2009-07-31,990
2009-08-31,1019
2009-09-30,1054
2009-10-31,1036
2009-11-30,1098
2009-12-31,1116
2010-01-31,1073
2010-02-28,1105
2010-03-31,1171
2010-04-30,1188
2010-05-31,1087
2010-06-30,1031
2010-07-31,1107
2010-08-31,1049
2010-09-30,1143
2010-10-31,1185
2010-11-30,1186
2010-12-31,1257
2011-01-31,1289
2011-02-28,1328
2011-03-31,1329
2011-04-30,1365
2011-05-31,1345
2011-06-30,1320
2011-07-31,1292
2011-08-31,1219
2011-09-30,1131
2011-10-31,1251
2011-11-30,1246
2011-12-31,1258
2012-01-31,1312
2012-02-29,1365
2012-03-31,1408
2012-04-30,1397
2012-05-31,1309
2012-06-30,1362
2012-07-31,1379
2012-08-31,1406
2012-09-30,1440
2012-10-31,1412
2012-11-30,1416
2012-12-31,1426
2013-01-31,1498
2013-02-28,1514
2013-03-31,1569
2013-04-30,1597
2013-05-31,1631
2013-06-30,1609
2013-07-31,1689
2013-08-31,1635
2013-09-30,1682
2013-10-31,1758
2013-11-30,1806
2013-12-31,1845
2014-01-31,1782
2014-02-28,1857
2014-03-31,1873
2014-04-30,1884
2014-05-31,1923
2014-06-30,1962
2014-07-31,1929
2014-08-31,2004
2014-09-30,1971
2014-10-31,2018
2014-11-30,2065
2014-12-31,2058
2015-01-31,1996
2015-02-28,2105
2015-03-31,2067
2015-04-30,2087
2015-05-31,2108
2015-06-30,2067
2015-07-31,2104
2015-08-31,1970
2015-09-30,1919
2015-10-31,2080
2015-11-30,2082
2015-12-31,2038
2016-01-31,1936
2016-02-29,1937
2016-03-31,2056
2016-04-30,2067
2016-05-31,2093
2016-06-30,2099
2016-07-31,2173
2016-08-31,2171
2016-09-30,2164
2016-10-31,2128
2016-11-30,2200
2016-12-31,2251
2017-01-31,2285
2017-02-28,2380
2017-03-31,2362
2017-04-30,2388
2017-05-31,2415
2017-06-30,2431
2017-07-31,2477
2017-08-31,2474
2017-09-30,2521
2017-10-31,2583
2017-11-30,2645
2017-12-31,2683
2018-01-31,2816
2018-02-28,2715
2018-03-31,2633
2018-04-30,2642
2018-05-31,2718
2018-06-30,2704
2018-07-31,2821
2018-08-31,2896
2018-09-30,2926
2018-10-31,2717
2018-11-30,2790
2018-12-31,2476
2019-01-31,2702
2019-02-28,2798
2019-03-31,2848
2019-04-30,2952
2019-05-31,2751
2019-06-30,2971
2019-07-31,2980
2019-08-31,2909
2019-09-30,2983
2019-10-31,3050
2019-11-30,3143
2019-12-31,3244
2020-01-31,3235
2020-02-29,2974
2020-03-31,2498
2020-04-30,2869
2020-05-31,3038
2020-06-30,3105
2020-07-31,3288
2020-08-31,3507
2020-09-30,3385
2020-10-31,3296
2020-11-30,3645
2020-12-31,3764
2021-01-31,3731
2021-02-28,3842
2021-03-31,3992
2021-04-30,4191
2021-05-31,4216
2021-06-30,4300
2021-07-31,4406
2021-08-31,4528
2021-09-30,4317
2021-10-31,4610
2021-11-30,4602
2021-12-31,4778
2022-01-31,4519
2022-02-28,4363
2022-03-31,4540
2022-04-30,4130
2022-05-31,4149
2022-06-30,3781
2022-07-31,4112
2022-08-31,3936
2022-09-30,3609
2022-10-31,3901
2022-11-30,4087
2022-12-31,3853
2023-01-31,4070
2023-02-28,3963
2023-03-31,4102
2023-04-30,4166
2023-05-31,4183
2023-06-30,4450
2023-07-31,4578
2023-08-31,4530
2023-09-30,4284
2023-10-31,4201
2023-11-30,4559
2023-12-31,4745
2024-01-31,4861
2024-02-29,5098
2024-03-31,5257
2024-04-30,5029
2024-05-31,5297
2024-06-30,5471
2024-07-31,5537
2024-08-31,5623
